gene,pval,qval,log2fc,mean,zero_mean,zero_variance,FDR
CDKN1C,0.6432933289838867,0.7946893087320641,0.019457569199994966,71.85919487185595,False,False,0.7946893087320641
CETP,0.10363888953138498,0.30854873258233567,0.16834091805125134,36.560932531589415,False,False,0.30854873258233567
CHRNE,0.14191804589421084,0.3592215599426242,0.2408716718100928,44.433342352146056,False,False,0.3592215599426242
LYST,0.18142780725205976,0.4073979026195221,0.09963665479123064,52.30085726482112,False,False,0.4073979026195221
ERCC8,0.045722962819400546,0.21855127384328812,0.21748945216740417,41.14150247341249,False,False,0.21855127384328812
CLCN1,0.10363888953138498,0.30854873258233567,0.21771769767076565,37.21054393489186,False,False,0.30854873258233567
CLCN5,3.413595449199845e-06,0.005222221856106624,-0.8125746687264109,58.04138723233851,False,False,0.005222221856106624
CLN3,0.06589091634621466,0.2514290833479088,0.06446920041639577,56.65628572789633,False,False,0.2514290833479088
CNGA1,0.11536336176616839,0.3247479511272499,0.1652377543712024,36.72961965421351,False,False,0.3247479511272499
COL1A1,0.0010825046496190838,0.0494557618071652,0.760391468864112,58.02740813464652,False,False,0.0494557618071652
COL1A2,0.0024456077521220433,0.06753892572763308,1.4457440634273087,174.84256651343367,False,False,0.06753892572763308
COL4A3,0.5693898459625074,0.7418265258304658,-0.11948267873863419,57.06331885733255,False,False,0.7418265258304658
COL5A1,0.005685944009974243,0.09385104550986031,0.6346321890465552,55.52672967678163,False,False,0.09385104550986031
COMP,0.020585828215956562,0.15597853377553,0.23283848217233408,41.59903689128596,False,False,0.15597853377553
CP,0.5515673446241796,0.7290271146211297,0.1702596150410307,49.93294580971322,False,False,0.7290271146211297
CPOX,0.06589091634621466,0.2514290833479088,0.23982431736885815,36.752075009229706,False,False,0.2514290833479088
CPT2,0.07406050117984497,0.2649538772874461,-0.1538922803028163,65.08302493211698,False,False,0.2649538772874461
CST3,0.4998018503261805,0.6890056352693577,-0.13133801162193173,276.8306825219131,False,False,0.6890056352693577
CSTB,9.313804315598476e-06,0.005222221856106624,-0.5951711633712021,202.80257099430733,False,False,0.005222221856106624
CYP17A1,0.004828035299595256,0.08818670991945807,-0.48355399365174534,61.10079769971894,False,False,0.08818670991945807
CYP19A1,0.19933583146564782,0.42673966095208626,0.19039362683021088,34.55897373106421,False,False,0.42673966095208626
CYP1B1,0.5340234431347741,0.7152914266919593,-0.04131883316015688,81.97113669790872,False,False,0.7152914266919593
CYP2D6,0.025344754914614444,0.17009575632394308,0.30283650280092356,49.84293216612281,False,False,0.17009575632394308
DDB2,0.09288181160903211,0.2946831550414817,0.21804079094449735,43.024042548202885,False,False,0.2946831550414817
DLD,0.002910216404068871,0.07189283594724476,-0.35164801587580435,85.24719629055116,False,False,0.07189283594724476
SLC26A3,0.04027985378867424,0.2066827883116582,0.23079357442057327,33.41356351898938,False,False,0.2066827883116582
SLC26A2,0.7811202411741249,0.8790869060546703,0.01571798474786253,37.256978942126764,False,False,0.8790869060546703
TOR1A,0.08303990817936754,0.27941215148987775,0.16657941258952758,45.88330422378168,False,False,0.27941215148987775
EDN3,0.5693898459625074,0.7418265258304658,0.06731633134797996,32.64164343112853,False,False,0.7418265258304658
EMD,0.5167658751032107,0.7027058857231357,-0.0197002039035592,79.43667621147341,False,False,0.7027058857231357
EPB42,0.045722962819400546,0.21855127384328812,0.16163105443616693,48.42511674834461,False,False,0.21855127384328812
EPHX1,0.5167658751032107,0.7027058857231357,0.28386025835693524,139.32841845256524,False,False,0.7027058857231357
EPOR,0.8220307333720004,0.9036379907071128,-0.07025768698033683,39.85908024485518,False,False,0.9036379907071128
ERCC5,0.5515673446241796,0.7290271146211297,0.12288329722753202,51.52840451496403,False,False,0.7290271146211297
ESR1,0.24967790631269726,0.47804121487001633,0.18702364656963807,41.01731165443979,False,False,0.47804121487001633
EXT1,0.027129857009108596,0.1741185377174944,0.2608141865750005,59.114856813012096,False,False,0.1741185377174944
F11,0.19022665361389512,0.41673736346411333,-0.4034472296180391,39.94821176296327,False,False,0.41673736346411333
F13A1,0.5167658751032107,0.7027058857231357,0.27280628990310374,61.884942310612374,False,False,0.7027058857231357
F5,0.37534599548446845,0.5896609742272984,0.14390510215661131,31.074549884330935,False,False,0.5896609742272984
F9,0.5693898459625074,0.7418265258304658,-0.03787589855928034,32.92646659292826,False,False,0.7418265258304658
FABP2,0.06589091634621466,0.2514290833479088,0.21657048841416546,32.189565565527936,False,False,0.2514290833479088
FANCA,0.32102426893048774,0.5428047197314095,-0.11311510566818683,34.39419453318526,False,False,0.5428047197314095
FAH,0.46678061452897934,0.6631481657424527,-0.035863424175870684,65.79692412585747,False,False,0.6631481657424527
MS4A2,0.045722962819400546,0.21855127384328812,0.27582290688047945,31.769654064643674,False,False,0.21855127384328812
FECH,0.260729211005852,0.4886823937643111,-0.587579564794311,74.06870493074743,False,False,0.4886823937643111
FGFR2,0.4998018503261805,0.6890056352693577,-0.04692843771051653,44.49017240942978,False,False,0.6890056352693577
